episode,stage,load_factor,task_min_bits,task_max_bits,steps,episode_reward,reward_ma,episode_delay_mean,episode_drop_rate,episode_offload_rate,episode_energy_mean,actor_loss,critic_loss,entropy,total_loss
17,phase1,1.0,1500000.0,6000000.0,200,-174.2325000000001,-173.58257352941177,174.2325,0.2575,0.68875,1.2000461646914482,5.68001854176424e-05,19.0356117559939,0.6088466206375434,9.515427248818535
18,phase1,1.0,1500000.0,6000000.0,200,-176.13249999999996,-173.72423611111114,176.1325,0.265,0.68875,1.3423159939050675,-0.0021859777863232456,16.303249436981822,0.6204130430610812,8.14695709578845
19,phase1,1.0,1500000.0,6000000.0,200,-176.9574999999999,-173.89440789473687,176.9575,0.28125,0.6425,1.7803448176383971,6.60543577099333e-05,13.448408593936842,0.619398934500558,6.721792800085885
20,phase1,1.0,1500000.0,6000000.0,200,-173.74375,-173.88687500000003,173.74375,0.22375,0.7375,0.9562549121677876,-0.005133254035395019,5.60737301378834,0.5909616691725594,2.7961893860174687
21,phase1,1.0,1500000.0,6000000.0,200,-171.33250000000004,-173.85056250000002,171.3325,0.255,0.6875,1.0593334878981113,0.006803665196104925,5.543613628465302,0.6312889006673074,2.7760853378140196
22,phase1,1.0,1500000.0,6000000.0,200,-173.69125,-173.98012500000002,173.69125,0.27375,0.66625,1.276119926571846,-0.011227596893298383,4.2587902108017275,0.606665627080567,2.1157408539129765
23,phase1,1.0,1500000.0,6000000.0,200,-173.22124999999988,-174.1425625,173.22125,0.25875,0.68,1.1875986325740815,-0.0006142714041836408,5.239039148603167,0.5914728690166863,2.616539415048093
24,phase1,1.0,1500000.0,6000000.0,200,-167.22249999999994,-173.957875,167.2225,0.23,0.71875,1.1511325863003732,-0.0081534725708925,5.741505481758896,0.581534573010036,2.8602731033247344
25,phase1,1.0,1500000.0,6000000.0,200,-172.35875,-173.957625,172.35875,0.2375,0.7225,1.1317338071763516,-0.01439567517527208,5.031666478332208,0.5296160931489906,2.4993191130307255
26,phase1,1.0,1500000.0,6000000.0,200,-169.6425000000001,-173.793375,169.6425,0.195,0.78125,0.7887016557157039,-0.001768615362899644,4.550997768129621,0.498851689757133,2.271734841015874
27,phase1,1.0,1500000.0,6000000.0,200,-167.29749999999996,-173.54412499999998,167.2975,0.1775,0.79125,0.8114385117590427,0.004756540687260579,2.2560775742238883,0.46408750816267363,1.1309389836934147
28,phase1,1.0,1500000.0,6000000.0,200,-164.47625000000002,-173.2065,164.47625,0.175,0.81625,0.7340783569216728,-0.0043354243496242836,4.220234442730339,0.4742378124168941,2.1038848307667948
29,phase1,1.0,1500000.0,6000000.0,200,-167.00000000000003,-172.8980625,167.0,0.18375,0.80625,0.7690174129605293,-0.011210037281318587,2.9519163905357826,0.4955714101694068,1.4627658846426983
30,phase1,1.0,1500000.0,6000000.0,200,-167.64374999999998,-172.43012500000003,167.64375,0.195,0.78375,0.8653716948628426,0.0064676207091127124,1.6448775213591906,0.5139138680331561,0.8268507244635601
31,phase1,1.0,1500000.0,6000000.0,200,-168.91750000000005,-171.970625,168.9175,0.22625,0.73,1.092862644791603,0.0008704796699540955,2.0435320966097774,0.5242116329621296,1.0205396815222136
