policy,reward_mean,reward_std,delay_mean,delay_std,drop_rate_mean,drop_rate_std,offload_rate_mean,offload_rate_std,energy_mean,energy_std,load_name,load_factor,task_min_bits,task_max_bits,avg_task_mbits
local,-241.14665000000008,0.9462387859309028,241.14664999999997,0.9462387859309107,0.780075,0.0036004340016170186,0.0,0.0,4.950408114886283,0.004165316486532927,load_04,0.85,1275000.0,5100000.0,3.1875
random,-166.56817499999997,1.772729237820866,166.568175,1.7727292378208817,0.389975,0.012595857453940963,0.4942250000000001,0.016191992619810566,4.088550590634346,0.19560174878458217,load_04,0.85,1275000.0,5100000.0,3.1875
mappo,-147.18039999999996,2.258865138736723,147.1804,2.258865138736707,0.16584999999999997,0.008401785524517985,0.7880499999999999,0.011000454536063497,1.5490259439408782,0.10140639449512139,load_05,0.9,1350000.0,5400000.0,3.375
offload,-160.2883,3.3801386968584626,160.2883,3.3801386968584577,0.03465,0.0057447802394869725,1.0,0.0,0.5935857180804014,0.008867307804991674,load_05,0.9,1350000.0,5400000.0,3.375
greedy,-176.75709999999995,1.1612735315161589,176.75709999999995,1.1612735315161535,0.5714999999999999,0.003992179855667831,0.2641,0.0010908712114635734,4.583570258164405,0.028594239829489713,load_05,0.9,1350000.0,5400000.0,3.375
local,-243.79165,1.0357010439793828,243.79165,1.0357010439793906,0.7907499999999998,0.003913118960624631,0.0,0.0,4.950408114886283,0.004165316486532927,load_05,0.9,1350000.0,5400000.0,3.375
random,-168.16815000000003,1.7582179230686947,168.16815000000003,1.758217923068695,0.39012499999999994,0.015127065974603268,0.4996000000000001,0.018439834597956672,3.9912973080039023,0.24626067108798352,load_05,0.9,1350000.0,5400000.0,3.375
mappo,-149.96327499999998,2.1961843600037327,149.963275,2.1961843600037323,0.18259999999999998,0.008852400804301622,0.7834500000000001,0.01093034766144243,1.5777700475156309,0.09395910527469177,load_06,0.95,1425000.0,5700000.0,3.5625
offload,-162.286525,3.2068750491132296,162.286525,3.206875049113232,0.04939999999999999,0.007229453644640098,1.0,0.0,0.5935857180804014,0.008867307804991674,load_06,0.95,1425000.0,5700000.0,3.5625
greedy,-178.74302500000002,1.0606773216322736,178.74302500000002,1.060677321632266,0.5779749999999999,0.003639110468232585,0.26497499999999996,0.0012621905561364351,4.576242760360241,0.02844977491438602,load_06,0.95,1425000.0,5700000.0,3.5625
local,-246.30257499999985,1.0818661657640518,246.30257500000005,1.081866165764047,0.8007750000000001,0.004045753947041267,0.0,0.0,4.950408114886283,0.004165316486532927,load_06,0.95,1425000.0,5700000.0,3.5625
random,-170.06272499999994,1.5596429817830086,170.062725,1.5596429817830102,0.393225,0.014230447111738972,0.502725,0.017544033886196183,3.974462723791599,0.2948542338489708,load_06,0.95,1425000.0,5700000.0,3.5625
mappo,-152.86074999999997,2.25520382947972,152.86075,2.255203829479723,0.19970000000000002,0.008918239736629642,0.7800499999999999,0.01177911286982174,1.5975419004917142,0.10385791960019371,load_07,1.0,1500000.0,6000000.0,3.75
offload,-164.6763,3.202972193525873,164.6763,3.20297219352588,0.067,0.008015609770940698,1.0,0.0,0.5935857180804014,0.008867307804991674,load_07,1.0,1500000.0,6000000.0,3.75
greedy,-180.72400000000002,1.0517699071089694,180.724,1.0517699071089663,0.5842499999999999,0.0035619517121937504,0.2659,0.0012257650672131257,4.565387753880024,0.03006478851471063,load_07,1.0,1500000.0,6000000.0,3.75
local,-248.55169999999987,0.9992292579783468,248.5517,0.9992292579783691,0.8094500000000001,0.0037927562537025724,0.0,0.0,4.950408114886283,0.004165316486532927,load_07,1.0,1500000.0,6000000.0,3.75
random,-171.310175,1.5748245737621098,171.31017500000002,1.5748245737621056,0.39909999999999995,0.013219398624748406,0.5007250000000001,0.015912043394862897,3.9965285585165025,0.26518767934812004,load_07,1.0,1500000.0,6000000.0,3.75
mappo,-155.86017499999997,2.328442236909689,155.860175,2.3284422369096895,0.21659999999999996,0.008767981523703165,0.776875,0.011046068305057697,1.6183985544353723,0.101686268571489,load_08,1.05,1575000.0,6300000.0,3.9375
offload,-167.1525,3.1730522372000083,167.1525,3.1730522372000136,0.085425,0.008191497115912327,1.0,0.0,0.5935857180804014,0.008867307804991674,load_08,1.05,1575000.0,6300000.0,3.9375
greedy,-182.49162500000006,1.085294638853899,182.491625,1.0852946388538933,0.589825,0.003648715527415093,0.266875,0.0013975424859373697,4.561664569103718,0.03031811573295521,load_08,1.05,1575000.0,6300000.0,3.9375
local,-250.61502499999983,1.0619322156451239,250.61502500000003,1.0619322156451425,0.8171499999999999,0.003968941924493228,0.0,0.0,4.950408114886283,0.004165316486532927,load_08,1.05,1575000.0,6300000.0,3.9375
