policy,reward_mean,reward_std,delay_mean,delay_std,drop_rate_mean,drop_rate_std,offload_rate_mean,offload_rate_std,energy_mean,energy_std,load_name,load_factor,task_min_bits,task_max_bits,avg_task_mbits
greedy,-172.0283999999999,1.1432329169946038,172.02840000000003,1.143232916994608,0.555925,0.0039434280771937485,0.26259999999999994,0.0010851267207105351,4.597515289223193,0.02681404984943765,load_03,0.7999999999999999,1200000.0,4800000.0,3.0
local,-238.37882500000015,1.2888201826185623,238.378825,1.2888201826185834,0.7695000000000001,0.005147815070493499,0.0,0.0,4.950408114886283,0.004165316486532927,load_03,0.7999999999999999,1200000.0,4800000.0,3.0
random,-165.21110000000002,1.8374723406081577,165.21110000000002,1.8374723406081521,0.3783750000000001,0.015135327052957925,0.5008999999999999,0.019538487658977085,3.9813043769240375,0.27431978260133155,load_03,0.7999999999999999,1200000.0,4800000.0,3.0
mappo,-145.08182499999998,2.643847896650826,145.08182499999998,2.6438478966508296,0.14482499999999998,0.010612522084782671,0.8026249999999999,0.01465914816761192,1.5323452385425569,0.10919910776169658,load_04,0.85,1275000.0,5100000.0,3.1875
pruned_p10,-144.79942499999999,2.2988746596160814,144.79942499999999,2.29887465961609,0.1814,0.0123025403880662,0.7528999999999999,0.01765014164249114,1.8848588772803543,0.11469043301483209,load_04,0.85,1275000.0,5100000.0,3.1875
distilled_p10,-145.08237499999998,2.6481943170064026,145.08237499999998,2.6481943170064044,0.14482499999999998,0.010488118277365104,0.8026000000000001,0.014585609346201484,1.531047093135118,0.10852540333451162,load_04,0.85,1275000.0,5100000.0,3.1875
pruned_p25,-145.325075,2.492082906551274,145.32507500000003,2.4920829065512646,0.15595,0.011007270324653613,0.784725,0.01603178483513299,1.6967737898528574,0.1269888836614078,load_04,0.85,1275000.0,5100000.0,3.1875
distilled_p25,-145.0642,2.6935869992446877,145.0642,2.693586999244689,0.1458,0.010638256436089514,0.80125,0.014696938456699072,1.540917074275017,0.10878735298868257,load_04,0.85,1275000.0,5100000.0,3.1875
pruned_p40,-145.42737499999998,2.685484433137717,145.427375,2.685484433137717,0.125375,0.010438061362149583,0.8242249999999999,0.014265101647026563,1.3675050547271967,0.12156578284005103,load_04,0.85,1275000.0,5100000.0,3.1875
distilled_p40,-145.01495,2.656685281511529,145.01494999999997,2.6566852815115305,0.14375,0.010065411069598695,0.8036499999999998,0.013785952995712704,1.5260259245991707,0.10805473429255834,load_04,0.85,1275000.0,5100000.0,3.1875
pruned_p50,-145.44297499999996,2.361759684139139,145.44297500000002,2.3617596841391375,0.1597,0.012233560397529413,0.7784500000000001,0.017079885831000157,1.7444023317337034,0.11439980536899526,load_04,0.85,1275000.0,5100000.0,3.1875
distilled_p50,-145.06697499999999,2.6072590383628973,145.066975,2.607259038362896,0.143025,0.01053592070015715,0.8049250000000001,0.013911348784355891,1.5172469596117732,0.10578524968199801,load_04,0.85,1275000.0,5100000.0,3.1875
offload,-158.68825,3.53922215147623,158.68825,3.5392221514762245,0.023225000000000003,0.004664292550859133,1.0,0.0,0.5935857180804014,0.008867307804991674,load_04,0.85,1275000.0,5100000.0,3.1875
greedy,-174.40779999999992,1.0955592053832568,174.40779999999998,1.0955592053832597,0.5636249999999999,0.003667850187780295,0.2637,0.0014568802284333473,4.590418891763687,0.02698574875216777,load_04,0.85,1275000.0,5100000.0,3.1875
local,-241.14665000000008,0.9462387859309028,241.14664999999997,0.9462387859309107,0.780075,0.0036004340016170186,0.0,0.0,4.950408114886283,0.004165316486532927,load_04,0.85,1275000.0,5100000.0,3.1875
random,-166.90085,1.8858939763411833,166.90085,1.8858939763411944,0.3847750000000001,0.013383034969692035,0.5012249999999999,0.017268993166945197,4.003803640305996,0.23583314100789116,load_04,0.85,1275000.0,5100000.0,3.1875
mappo,-147.29467499999998,2.416025995953903,147.294675,2.416025995953892,0.16305,0.011508583753008013,0.7924999999999999,0.01473304109815757,1.6126787060201169,0.11293081641867886,load_05,0.9,1350000.0,5400000.0,3.375
pruned_p10,-147.415125,2.246466604052914,147.41512500000002,2.246466604052908,0.20087500000000003,0.010828925385281773,0.741175,0.014623205018052643,1.9735281940728424,0.09496873065128025,load_05,0.9,1350000.0,5400000.0,3.375
distilled_p10,-147.2976,2.4145516255611614,147.2976,2.4145516255611503,0.16335,0.01143033245360781,0.7921749999999999,0.014609093914408242,1.6172200536429884,0.1092668196251485,load_05,0.9,1350000.0,5400000.0,3.375
pruned_p25,-147.599825,2.231473182255396,147.599825,2.2314731822553906,0.17337500000000003,0.012435458375146449,0.7744500000000001,0.01684332211886954,1.782352274680138,0.11679428813254607,load_05,0.9,1350000.0,5400000.0,3.375
distilled_p25,-147.3047,2.4381805660164053,147.3047,2.438180566016388,0.163175,0.011297704412844231,0.7923749999999999,0.014424913344627066,1.6141916816294195,0.11006357641052282,load_05,0.9,1350000.0,5400000.0,3.375
pruned_p40,-147.77865,2.521843730785082,147.77865,2.5218437307850787,0.147275,0.01083884795538714,0.8084499999999999,0.013408392894004858,1.4855353125363586,0.10854611635816686,load_05,0.9,1350000.0,5400000.0,3.375
distilled_p40,-147.3026,2.4038176906745696,147.3026,2.403817690674565,0.16295,0.01149119227930679,0.792675,0.015008351841558087,1.6129493268579245,0.11254529469317456,load_05,0.9,1350000.0,5400000.0,3.375
pruned_p50,-147.909525,2.301789804831242,147.909525,2.30178980483123,0.17805000000000004,0.012237646832622684,0.7674500000000001,0.016981534088532757,1.8401390254586933,0.12244725537870485,load_05,0.9,1350000.0,5400000.0,3.375
distilled_p50,-147.3097,2.426207824981201,147.3097,2.4262078249811982,0.161275,0.010975797237558647,0.7950499999999999,0.01404670779933861,1.597344846189022,0.11734511953459338,load_05,0.9,1350000.0,5400000.0,3.375
offload,-160.2883,3.3801386968584626,160.2883,3.3801386968584577,0.03465,0.0057447802394869725,1.0,0.0,0.5935857180804014,0.008867307804991674,load_05,0.9,1350000.0,5400000.0,3.375
greedy,-176.75709999999995,1.1612735315161589,176.75709999999995,1.1612735315161535,0.5714999999999999,0.003992179855667831,0.2641,0.0010908712114635734,4.583570258164405,0.028594239829489713,load_05,0.9,1350000.0,5400000.0,3.375
local,-243.79165,1.0357010439793828,243.79165,1.0357010439793906,0.7907499999999998,0.003913118960624631,0.0,0.0,4.950408114886283,0.004165316486532927,load_05,0.9,1350000.0,5400000.0,3.375
random,-168.455875,1.6164750471705396,168.45587500000002,1.6164750471705396,0.3879500000000001,0.013864883699476171,0.5028250000000001,0.01630722615897627,3.9665783061027526,0.24272584548579862,load_05,0.9,1350000.0,5400000.0,3.375
mappo,-150.020725,2.3045058864374752,150.020725,2.3045058864374806,0.181225,0.011972598924210234,0.7853249999999999,0.015247561280414636,1.670812542256713,0.10510428151587413,load_06,0.95,1425000.0,5700000.0,3.5625
pruned_p10,-150.16454999999996,1.942006416698974,150.16455,1.9420064166989774,0.2181,0.010762318523440942,0.7338000000000001,0.014737197834052435,2.033227011722326,0.09601370451532813,load_06,0.95,1425000.0,5700000.0,3.5625
distilled_p10,-150.01444999999998,2.302663772134342,150.01445,2.302663772134351,0.18097499999999997,0.0118434844957048,0.78565,0.014862368586466954,1.6683573150664566,0.10328061474912452,load_06,0.95,1425000.0,5700000.0,3.5625
pruned_p25,-150.43174999999997,2.408056711333841,150.43175,2.408056711333849,0.1901,0.010295144486601439,0.7680499999999999,0.014656824349087355,1.8286061246961356,0.11108712293009401,load_06,0.95,1425000.0,5700000.0,3.5625
distilled_p25,-150.01825,2.2599072989837343,150.01825,2.259907298983744,0.18159999999999996,0.011494672679115314,0.7848,0.014856311789943013,1.6722573121249675,0.1055294780625652,load_06,0.95,1425000.0,5700000.0,3.5625
pruned_p40,-150.512575,2.28049701833285,150.512575,2.2804970183328432,0.16965000000000002,0.01237194406712219,0.7946500000000001,0.01595117550527233,1.5940589637219904,0.12275275117756473,load_06,0.95,1425000.0,5700000.0,3.5625
distilled_p40,-149.969175,2.2551075308341595,149.969175,2.255107530834171,0.18055,0.011413150310059007,0.7861,0.014481971550862815,1.663398729893565,0.10351713104568701,load_06,0.95,1425000.0,5700000.0,3.5625
pruned_p50,-150.64667499999996,2.2131874300711543,150.646675,2.2131874300711636,0.19662500000000002,0.011292281656069336,0.7568249999999999,0.01617329975607946,1.9143080067127942,0.11369136246183296,load_06,0.95,1425000.0,5700000.0,3.5625
distilled_p50,-150.00084999999999,2.2710439702920673,150.00085,2.2710439702920757,0.17957499999999996,0.010728495933727152,0.7878250000000001,0.013722267487554668,1.6517113273262978,0.09372276359456062,load_06,0.95,1425000.0,5700000.0,3.5625
